CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30952,ME,300,Thermodynamics,C,LEC,120155,"Shikhar Mohan, -",3.12,2,6,2,6,4,4,6,2,0,0,0,0,0,0
30955,ME,340,Dynamics of Mechanical Systems,AL1,LEC,120155,"Dankowicz, Harry",2.96,4,4,6,0,6,6,2,2,0,0,4,0,0,0
34638,ME,597,Independent Study,SDO,ONL,120155,"Downing, Stephen D",,,,,,,,,,,,,,,
30102,MUS,130,Introd to the Art of Music,A,ONL,120155,"Magee, Gayle S",3.62,12,10,8,4,4,0,4,0,0,0,0,0,0,0
38377,MUS,132,Popular Music Studies,A,ONL,120155,"Solis, Gabriel",3.33,2,46,2,4,16,0,0,6,0,0,0,0,6,0
30153,MUS,276,Summer Band,A,PR,120155,"Houser, Barry L",,,,,,,,,,,,,,,
38374,MUS,408,Analysis of Musical Form,C,LCD,120155,"Carrillo, Carlos R",3.18,2,0,12,12,12,0,4,0,0,2,0,0,0,0
38359,MUS,433,Music Interdisciplinary Curric,A,LCD,120155,"Barrett, Janet R",3.83,0,26,2,0,0,0,0,0,0,0,0,0,2,0
38361,MUS,437,Popular Music Pedagogy,A,LCD,120155,"Kruse, Adam J",3.8,24,0,0,0,0,0,0,0,0,0,0,0,2,0
30166,MUS,450,Summer Band,A,PR,120155,"Houser, Barry L",,,,,,,,,,,,,,,
37820,MUS,514,Musicology and Pedagogy,A,ONL,120155,"Magee, Gayle S",,,,,,,,,,,,,,,
38351,MUS,519,Analytical Methods: Musicology,A,LCD,120155,"Kinderman, William A",3.48,4,2,2,12,0,2,0,0,0,0,0,0,0,0
30167,MUS,533,Research in Music Education,A,LCD,120155,"Nichols, Jeananne B",3.62,0,22,4,0,2,0,0,0,0,0,0,0,2,0
31339,MUS,541,Chor Prog in Secondary Schools,A,CNF,120155,"Sweet, Bridget M",,,,,,,,,,,,,,,
33547,MUS,545,Topics in Music Education,B,LCD,120155,"Wyatt, Scott A",,,,,,,,,,,,,,,
37527,NRES,472,Environmental Psychology,XM3,ONL,120155,"Vining, Joanne",,,,,,,,,,,,,,,
37509,NRES,499,Silviculture,XM2,ONL,120155,"Woolery, Michael E",,,,,,,,,,,,,,,
37375,PATH,552,Diagnostic Cytology,A,LBD,120155,"Barger, Anne M",,,,,,,,,,,,,,,
34836,PERS,201,Elementary Persian I,AE1,LCD,120155,"Feizmohammadpou, Aazamosa",,,,,,,,,,,,,,,
34839,PERS,202,Elementary Persian II,AB1,LCD,120155,"Feizmohammadpou, Aazamosa",,,,,,,,,,,,,,,
36788,PHIL,102,Logic and Reasoning,TM,LCD,120155,"McCarthy, Timothy G",3.59,0,18,4,6,4,4,0,0,0,0,0,0,0,0
36262,PHIL,105,Introduction to Ethics,AB,LCD,120155,"Meyer, Daniel W",,,,,,,,,,,,,,,
30232,PHYS,101,College Physics: Mech & Heat,A,LEC,120155,"Shoaf, Curtis M",2.85,22,8,0,10,2,0,2,4,2,8,2,0,6,0
30239,PHYS,102,College Physics: E&M & Modern,A,LEC,120155,"Carrubba, James G",2.54,8,2,2,8,6,8,6,12,2,4,6,2,0,2
30254,PHYS,211,University Physics: Mechanics,A,LEC,120155,"Rosenblatt, Rebecca J",3.26,18,12,2,4,12,2,4,2,4,0,0,0,2,0
30264,PHYS,212,University Physics: Elec & Mag,A,LEC,120155,"Davis, Alvie D",2.59,10,12,4,12,10,10,10,4,10,10,0,6,4,2
30275,PHYS,213,Univ Physics: Thermal Physics,A,LEC,120155,"Hassani, Sadri D",2.49,10,8,4,10,18,16,12,16,10,6,4,6,4,0
30282,PHYS,214,Univ Physics: Quantum Physics,A,LEC,120155,"Hassani, Sadri D",2.48,8,12,18,10,4,14,4,18,10,16,4,2,8,8
37860,PHYS,403,Modern Experimental Physics,A,LAB,120155,"Colla, Eugene V",,,,,,,,,,,,,,,
38241,PORT,200,Advanced Grammar,2B,ONL,120155,"Goebel, Raquel C",,,,,,,,,,,,,,,
34758,PORT,404,Doing Business in Brazil,2B,ONL,120155,"Senna, Nola M",,,,,,,,,,,,,,,
30313,PS,100,Intro to Political Science,P,LCD,120155,"Pack, Tyler J",,,,,,,,,,,,,,,
30314,PS,101,Intro to US Gov & Pol,ONL,ONL,120155,"Rundlett, Ashlea P",3.53,0,58,24,4,4,4,0,2,4,0,0,0,4,0
30320,PS,220,Intro to Public Policy,R,LCD,120155,"Testa, Paul F",,,,,,,,,,,,,,,
37588,PS,224,Politics of the National Parks,YST,ONL,120155,"Pahre, Robert D",,,,,,,,,,,,,,,
33112,PS,240,Intro to Comp Politics,A,LCD,120155,"Cawvey, Matthew",,,,,,,,,,,,,,,
30322,PS,280,Intro to Intl Relations,R,LCD,120155,"Niece, Blair L",,,,,,,,,,,,,,,
35595,PS,301,The US Constitution I,A,LCD,120155,"Seitz, Steven T",,,,,,,,,,,,,,,
32262,PS,303,The US Congress,A,LCD,120155,"Johnson, Timothy V",,,,,,,,,,,,,,,
36371,PS,305,The US Supreme Court,JTW,ONL,120155,"Thomas-Ward, Jamie M",3.08,0,12,4,8,16,0,2,8,0,0,2,0,0,2
38327,PS,385,Politics of the European Union,ONL,ONL,120155,"Kourtikakis, Konstantinos",3.0,0,18,8,6,10,4,0,8,0,0,2,0,4,0
34822,PS,394,Crisis Diplomacy,A,CNF,120155,"Vasquez, John A",3.36,0,10,8,12,12,0,4,0,0,0,0,0,0,0
34453,PS,491,Internship,WA,CNF,120155,"Dimock, Susan C",,,,,,,,,,,,,,,
37058,PSM,555,PSM Internship,FCR,LCD,120155,"Engeseth, Nicki J",,,,,,,,,,,,,,,
37060,PSM,555,PSM Internship,PCR,LCD,120155,"Huber, Joan L",,,,,,,,,,,,,,,
37062,PSM,555,PSM Internship,TCR,LCD,120155,"Harper, Joe G",,,,,,,,,,,,,,,
31257,PSYC,100,Intro Psych,ONL,ONL,120155,"Shenouda, Christine K",3.12,0,60,22,16,16,6,4,6,0,4,10,0,8,0
34254,PSYC,201,Intro to Social Psych,S1,LEC,120155,"Kim, Emily S",3.69,12,8,2,4,0,2,2,0,0,0,0,0,0,0
30330,PSYC,201,Intro to Social Psych,S2,LEC,120155,"Scicchitano, Jason J",,,,,,,,,,,,,,,
38244,PSYC,204,Intro to Brain and Cognition,S2,LEC,120155,"Hubbard, Ryan J",2.78,2,8,4,2,10,4,4,8,2,2,0,0,2,0
34255,PSYC,216,Child Psych,S1,LEC,120155,"Sugimura, Niwako",3.31,0,10,2,8,4,2,2,0,2,0,0,0,0,0
30332,PSYC,224,Cognitive Psych,S2,LEC,120155,"Braverman, Michael B",2.64,0,6,0,0,6,0,0,8,0,0,0,0,2,2
34780,PSYC,230,Perception & Sensory Processes,S1,LEC,120155,"Cronin, Deborah A",3.33,0,28,0,0,6,0,0,4,0,0,2,0,2,0
33500,PSYC,248,Learning and Memory,S2,LEC,120155,"McKinley, Geoffrey L",,,,,,,,,,,,,,,
33558,PSYC,363,Developmental Child Psych Lab,AL1,LEC,120155,"Hussak, Larisa",3.52,2,6,8,2,0,0,4,0,0,0,0,0,0,0
37903,PSYC,468,Psych and Law,UG,LEC,120155,"Stanley, Sarah E",,,,,,,,,,,,,,,
36551,PSYC,593,Internship,INT,CNF,120155,"Drasgow, Fritz",,,,,,,,,,,,,,,
30355,RHET,105,Writing and Research,F,,120155,"O'Brien, Matthew J",,,,,,,,,,,,,,,
30354,RHET,105,Writing and Research,X,LCD,120155,"Lee, Jean Y",,,,,,,,,,,,,,,
37326,RHET,233,Adv Rhetoric & Composition,D,LCD,120155,"Larabee, Melissa K",,,,,,,,,,,,,,,
29983,RLST,106,Archaeology and the Bible,AL1,ONL,120155,"Pitard, Wayne T",,,,,,,,,,,,,,,
35077,RLST,110,World Religions,AL1,ONL,120155,"Ebel, Jonathan H",2.91,0,24,14,2,28,12,8,8,2,2,4,0,4,0
38369,RLST,494,Topics in Religious Thought,JE,ONL,120155,"Ebel, Jonathan H",,,,,,,,,,,,,,,
36932,RST,100,RST in Modern Society,ONL,ONL,120155,"Paden, Lori Kay",3.55,32,12,18,4,2,2,2,0,2,0,2,0,2,0
36933,RST,130,Foundations of Sport Mgt,ONL,ONL,120155,"Tainsky, Scott",2.83,0,10,6,8,8,2,0,6,0,0,0,0,6,0
38593,RST,199,CHAMP Student Athlete Seminar,MR,LCD,120155,"Raycraft, Michael",3.94,0,76,0,2,0,0,2,0,0,0,0,0,0,0
37921,RST,199,Sport and Sustainability,SA2,ONL,120155,"Raycraft, Michael",3.44,0,14,2,2,2,0,0,0,0,0,0,0,2,0
37836,RST,199,Sales and Promotion in RST,SAP,ONL,120155,"Cupps-Miller, Heather A",,,,,,,,,,,,,,,
37835,RST,242,Nature and American Culture,ONL,ONL,120155,"McDonald, Cary D",3.17,0,16,0,0,16,0,0,0,0,0,2,0,2,0
35808,RST,501,Concepts & Applications in RST,XM1,ONL,120155,"Stodolska, Monika",,,,,,,,,,,,,,,
36185,RST,503,Adv Leisure Research Methods,XM,ONL,120155,"Morris, Lynn B",,,,,,,,,,,,,,,
36186,RST,512,Managing RST Organizations,XM,ONL,120155,"Hicks, Jonathan R",3.79,8,10,2,4,2,0,0,0,0,0,0,0,0,0
37036,RST,518,Event Management,XM,ONL,120155,"Raycraft, Michael",,,,,,,,,,,,,,,
36188,RST,593,Special Problems,XM,ONL,120155,"Santos, Carla A",3.91,18,6,2,0,2,0,0,0,0,0,0,0,0,0
36914,RUSS,101,First-Year Russian I,A,ONL,120155,"Mitrevski, George G",,,,,,,,,,,,,,,
30357,SCAN,251,Viking Mythology,B,LCD,120155,"Malekin, Bjorn",3.41,8,2,4,4,2,2,4,0,0,0,0,0,0,0
38378,SHS,120,"Child, Comm, & Lang Ability",C1,ONL,120155,"Mendes, Clarion C",3.76,0,40,0,0,8,0,0,2,0,0,0,0,0,0
35657,SHS,477,Beginning Practicum in SHS,C,CNF,120155,"Mendes, Clarion C",,,,,,,,,,,,,,,
35114,SHS,514,Motor Speech Disorders,A,LCD,120155,"Mendes, Clarion C",3.83,0,34,10,0,2,2,0,0,0,0,0,0,0,0
32916,SHS,551,Electrophys Indic Aud Balance,A,LCD,120155,"Chambers, Ronny D",,,,,,,,,,,,,,,
30444,SHS,557,Adv Clin Prac Aud Assess Rehab,A,LCD,120155,"Chambers, Lou",,,,,,,,,,,,,,,
35669,SHS,557,Adv Clin Prac Aud Assess Rehab,B,LCD,120155,"Parker, Carol L",,,,,,,,,,,,,,,
