CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
36322,MUS,255,Woodwind Ensemble,D,PR,120101,"McGovern, Timothy S",,,,,,,,,,,,,,,
36323,MUS,255,Woodwind Ensemble,E,PR,120101,"Richtmeyer, Debra A",,,,,,,,,,,,,,,
36326,MUS,256,Brass Ensemble,A,PR,120101,"Romm, Ronald",,,,,,,,,,,,,,,
39697,MUS,256,Brass Ensemble,A2,PR,120101,"Romm, Aaron A",,,,,,,,,,,,,,,
39696,MUS,256,Brass Ensemble,A3,PR,120101,"Walburn, Jacob A",,,,,,,,,,,,,,,
36327,MUS,256,Brass Ensemble,B,PR,120101,"Chasanov, Elliot L",,,,,,,,,,,,,,,
36329,MUS,256,Brass Ensemble,C,PR,120101,"Jostlein, Thomas",,,,,,,,,,,,,,,
39698,MUS,256,Brass Ensemble,C1,PR,120101,"Zyla, Marc F",,,,,,,,,,,,,,,
36331,MUS,256,Brass Ensemble,D,PR,120101,"Walburn, Jacob A",,,,,,,,,,,,,,,
39699,MUS,256,Brass Ensemble,D1,PR,120101,"Gross, Lindsay J",,,,,,,,,,,,,,,
36332,MUS,256,Brass Ensemble,E,PR,120101,"Moore, Mark E",,,,,,,,,,,,,,,
36334,MUS,257,Percussion Ensemble,A,PR,120101,"Moersch, William",,,,,,,,,,,,,,,
36335,MUS,257,Percussion Ensemble,B,PR,120101,"Flores, Ricardo",,,,,,,,,,,,,,,
36340,MUS,258,Piano Ensemble,E,PR,120101,"Heiles, William H",,,,,,,,,,,,,,,
36342,MUS,260,Oratorio Society,A,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36345,MUS,261,University Chorus,F,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36346,MUS,261,University Chorus,F5,PR,120101,"Davis, Ollie W",,,,,,,,,,,,,,,
36344,MUS,261,University Chorus,F6,PR,120101,"McDavitt, Daniel",,,,,,,,,,,,,,,
52621,MUS,261,University Chorus,F7,PR,120101,"Stoltzfus, Fred A",,,,,,,,,,,,,,,
36350,MUS,262,Women's Glee Club,A,PR,120101,"Alwes, Chester L",,,,,,,,,,,,,,,
36353,MUS,263,Men's Glee Club,A,PR,120101,"Coleman, Barrington L",3.96,0.0,37.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36358,MUS,265,Opera,A,PR,120101,"Schleis, Thomas",,,,,,,,,,,,,,,
36362,MUS,266,Jazz Ensemble,A,PR,120101,"McNeill, Charles L",,,,,,,,,,,,,,,
36365,MUS,266,Jazz Ensemble,B,PR,120101,"Pugh, James E",,,,,,,,,,,,,,,
36368,MUS,266,Jazz Ensemble,C,PR,120101,"Noblet, Catherine",,,,,,,,,,,,,,,
36370,MUS,266,Jazz Ensemble,D,PR,120101,"Doyle, Phillip J",,,,,,,,,,,,,,,
39702,MUS,266,Jazz Ensemble,E,PR,120101,"Carrillo, Teofilo L",,,,,,,,,,,,,,,
46444,MUS,266,Jazz Ensemble,JC1,PR,120101,"Stephens, John C",,,,,,,,,,,,,,,
46445,MUS,266,Jazz Ensemble,JC2,PR,120101,"Hall, Dana",,,,,,,,,,,,,,,
46446,MUS,266,Jazz Ensemble,JC3,PR,120101,"McNeill, Charles L",,,,,,,,,,,,,,,
46447,MUS,266,Jazz Ensemble,JC4,PR,120101,"Gray, Lawrence W",,,,,,,,,,,,,,,
46448,MUS,266,Jazz Ensemble,JC5,PR,120101,"Carrillo, Teofilo L",,,,,,,,,,,,,,,
46449,MUS,266,Jazz Ensemble,JC6,PR,120101,"Bridgewater, Ronald S",,,,,,,,,,,,,,,
49610,MUS,266,Jazz Ensemble,JC7,PR,120101,"Wilson, Glenn D",,,,,,,,,,,,,,,
46441,MUS,266,Jazz Ensemble,JGE,CNF,120101,"Purcell, Shawn P",,,,,,,,,,,,,,,
47727,MUS,266,Jazz Ensemble,JSE,PR,120101,"Wilson, Collin J",,,,,,,,,,,,,,,
52623,MUS,266,Jazz Ensemble,JT1,PR,120101,"Pugh, James E",,,,,,,,,,,,,,,
46450,MUS,266,Jazz Ensemble,JT2,PR,120101,"Noblet, Catherine",,,,,,,,,,,,,,,
53336,MUS,266,Jazz Ensemble,JVE,PR,120101,"Purcell, Darden E",,,,,,,,,,,,,,,
53338,MUS,266,Jazz Ensemble,VC1,PR,120101,"Hickey, Joan B",,,,,,,,,,,,,,,
53339,MUS,266,Jazz Ensemble,VC2,PR,120101,"Gray, Lawrence W",,,,,,,,,,,,,,,
36371,MUS,267,Chamber Music,S,PR,120101,"Milenkovich, Stefan",,,,,,,,,,,,,,,
36377,MUS,267,Chamber Music,S2,PR,120101,"Ganatra, Simin",,,,,,,,,,,,,,,
36382,MUS,267,Chamber Music,S4,PR,120101,"Haken, Rudolf",,,,,,,,,,,,,,,
36385,MUS,267,Chamber Music,S6,PR,120101,"Kouzov, Dmitry",,,,,,,,,,,,,,,
36390,MUS,267,Chamber Music,S8,PR,120101,"Cameron, Michael J",,,,,,,,,,,,,,,
36393,MUS,267,Chamber Music,S9,PR,120101,"Yeung, Ann M",,,,,,,,,,,,,,,
39703,MUS,268,Wind Symphony,A,PR,120101,"Rumbelow, Robert W",,,,,,,,,,,,,,,
36407,MUS,269,Symphonic Band I,A,PR,120101,"George, Roby",,,,,,,,,,,,,,,
36411,MUS,270,Symphonic Band II,A,PR,120101,"Ramirez, Abel S",,,,,,,,,,,,,,,
36413,MUS,271,First Concert Band,A,PR,120101,"Griffin, Peter J",,,,,,,,,,,,,,,
36416,MUS,272,Second Concert Band,A,PR,120101,"Daeschler, Jeffrey T",3.94,56.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39704,MUS,272,Second Concert Band,B,PR,120101,"Burdett, John P",3.9,0.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36422,MUS,274,Basketball Band,A,PR,120101,"Griffin, Peter J",,,,,,,,,,,,,,,
